date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:26	327593/327593	---MCZ	200	added ('OK')	text/html	etag:W/%22d91e0e4da6189aa7a177ea103e32bda2%22	https://pederspongsveen.wixsite.com/grinders-customs	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/pederspongsveen.wixsite.com/grinders-customs.html	(from )
23:31:26	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://pederspongsveen.wixsite.com/robots.txt		(from )
23:31:26	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:26	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:27	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202024%2021:31:28%20GMT	https://pederspongsveen.wixsite.com/	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/pederspongsveen.wixsite.com/index.html	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:27	2837/2837	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202024%2021:31:28%20GMT	https://static.wixstatic.com/media/af7a8b002af842f8bab87691c1d8640f.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/af7a8b002af842f8bab87691c1d8640f.jpg	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/static.wixstatic.com/media/af7a8b002af842f8bab87691c1d8640f.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2/af7a8b002af842f8bab87691c1d8640f.jpg	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:27	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jul%202024%2021:31:27%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:28	352364/352364	---MCZ	200	added ('OK')	text/html	etag:W/%222ed1f634da8c7bf7b7da1237eb0b4068%22	https://pederspongsveen.wixsite.com/grinders-customs/chose-subscriptione	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/pederspongsveen.wixsite.com/grinders-customs/chose-subscriptione.html	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:28	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://pederspongsveen.wixsite.com/grinders-customs)
23:31:28	583/583	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2021:31:29%20GMT	https://static.wixstatic.com/media/1e47b2_5933ee74ead1423ea0746d23c30f1b4e~mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/1e47b2_5933ee74ead1423ea0746d23c30f1b4e~mv2.png	C:/Users/peder/OneDrive/Documents/personal/code/website/grinders-customs/static.wixstatic.com/media/1e47b2_5933ee74ead1423ea0746d23c30f1b4e_mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,e/1e47b2_5933ee74ead1423ea0746d23c	(from https://pederspongsveen.wixsite.com/grinders-customs)
